Time,O,H,L,C
14:41,29126.5,29135.2,29114.1,29114.15
14:42,29115.35,29125.5,29100.55,29111.3
14:43,29106.3,29116.55,29106.2,29115.6
14:44,29116.75,29144.05,29115.05,29141.1
14:45,29140.85,29146.55,29131.5,29134.7
14:46,29135.6,29173.65,29135.6,29173.25
14:47,29173.8,29202.85,29172.7,29172.7
14:48,29174.85,29196.4,29174.75,29181.95
14:49,29182.4,29187.05,29146.75,29146.75
14:50,29147.05,29167.1,29142.95,29143.75
14:51,29145.05,29172.7,29145.05,29164.15
14:52,29163.55,29181.6,29161.1,29170.15
14:53,29169.15,29180.4,29160.5,29175.95
14:54,29171.65,29184.05,29162.3,29162.3
14:55,29161.5,29175.25,29146.7,29163.9
14:56,29164.3,29183.6,29163.15,29169.05
14:57,29168.15,29184.4,29166.4,29166.75
14:58,29163.65,29168.15,29127.7,29127.7
14:59,29128.75,29147.6,29128.75,29141.85
15:00,29136.35,29149.1,29100.55,29106.25
15:01,29099.35,29107.5,29044.45,29045.35
15:02,29045.5,29087.55,29045.5,29076.6
15:03,29075.4,29082.3,29064.7,29073.7
15:04,29078.4,29085.9,29053.25,29055.25
15:05,29057.45,29059.15,29044.1,29054.9
15:06,29055.7,29084.45,29055.7,29081.55
15:07,29079.65,29089.75,29059,29060.85
15:08,29056.6,29064.75,29049.05,29058.3
15:09,29056.7,29074.35,29054.25,29057.9
15:10,29059.6,29075.1,29055.5,29056.65
15:11,29056.15,29060.35,29031.3,29031.3
15:12,29031.6,29054.65,29027.7,29047.55
15:13,29043.75,29056.7,29036,29036.1
15:14,29036.6,29049.5,29030.7,29045.75
15:15,29046.6,29062.45,29046.25,29061.3
15:16,29059.95,29060.7,29038.75,29045.25
15:17,29045,29057.7,29038.1,29056.6
15:18,29055.1,29056.3,29040.6,29041.55
15:19,29041.25,29043.3,29028.7,29033.5
15:20,29030.9,29042.05,29029,29042.05
15:21,29035.5,29038.15,29029.6,29036.05
15:22,29036.4,29042.3,29014.7,29020.55
15:23,29015.85,29021.4,28993.55,28997.75
15:24,28990.7,28992.6,28974.55,28977.6
15:25,28979.1,28982.65,28969.45,28979.6
15:26,28979.2,28992.25,28977.4,28987.55
15:27,28984.8,28992.05,28980.15,28990.1
15:28,28989.35,28989.35,28975.2,28977.9
15:29,28976.4,28979.15,28964.85,28979.15
15:30,28976,28978.1,28955.95,28975.85
15:31,28974.3,28974.3,28974.3,28974.3
15:32,29032.25,29040.5,29032.25,29040.5
